SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SAGCEM,EQ,2021-07-22,1163.7,1190.0,1315.0,1176.05,1275.85,1271.95,1271.34,281571,3579.72,23998,103733,36.84
SAIL,EQ,2021-07-22,122.85,124.4,127.7,124.35,126.5,126.15,126.22,68047287,85892.56,159508,26393103,38.79
SAKAR,EQ,2021-07-22,168.65,168.65,178.0,168.65,170.0,170.5,174.53,59141,103.22,1308,32185,54.42
SAKSOFT,EQ,2021-07-22,658.05,664.9,700.0,664.85,688.0,691.15,691.6,71797,496.54,6881,35795,49.86
SALASAR,EQ,2021-07-22,331.75,336.9,343.5,330.85,334.0,336.2,338.1,58692,198.44,2977,26519,45.18
SALONA,EQ,2021-07-22,203.15,206.85,209.9,191.55,195.0,194.95,200.19,84569,169.3,5320,46003,54.40
SALZERELEC,EQ,2021-07-22,175.6,181.0,183.0,176.05,178.5,177.05,179.59,151932,272.85,3894,62865,41.38
SANCO,EQ,2021-07-22,9.65,9.95,9.95,9.65,9.8,9.75,9.81,8632,0.85,57,6217,72.02
SANDESH,EQ,2021-07-22,975.6,980.0,1008.75,957.15,969.0,968.1,986.32,8271,81.58,1776,3531,42.69
SANDHAR,EQ,2021-07-22,296.95,298.1,307.4,292.2,293.25,293.8,299.58,110131,329.93,6192,59407,53.94
SANGAMIND,EQ,2021-07-22,142.1,135.0,135.0,135.0,135.0,135.0,135.0,32475,43.84,249,31573,97.22
SANGHIIND,EQ,2021-07-22,61.15,61.8,64.1,61.35,64.0,63.85,63.03,3355694,2115.02,17528,2038003,60.73
SANGHVIMOV,EQ,2021-07-22,192.95,197.6,222.5,194.9,222.5,218.45,213.84,1138031,2433.51,19764,368885,32.41
SANGINITA,EQ,2021-07-22,32.95,34.55,34.55,31.35,32.15,31.75,33.15,523736,173.64,2426,350326,66.89
SANOFI,EQ,2021-07-22,7921.45,7910.05,8028.0,7910.05,8010.0,8007.55,7956.68,48075,3825.17,3251,45786,95.24
SARLAPOLY,EQ,2021-07-22,41.55,42.05,42.95,41.25,41.3,41.65,41.93,222968,93.48,2369,122836,55.09
SASKEN,EQ,2021-07-22,1336.5,1375.0,1375.0,1275.0,1286.9,1279.9,1318.89,109961,1450.26,9010,49437,44.96
