MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N9,IBUCCREDIT,SERENCD9.00%SRVCIII&IV,      1002.00,      1002.00,      1002.00,      1002.00,      1002.00,                    10020.00,10, ,1,      1049.00,       670.50
N,N9,IDFCFIRSTB,BOND 9% 2021 TR-1 SR-I,      5230.00,      5200.00,      5200.00,      5200.00,      5200.00,                    20800.00,4, ,1,      5554.95,      4738.40
N,N9,IIFL,SEC RED NCD 9.50 % SR. II,      1019.10,      1001.50,      1021.85,      1001.50,      1021.85,                     2023.35,2, ,2,      1060.35,       845.60
N,N9,NHAI,TAX FREE7.35% SR.IIA,      1240.00,      1241.50,      1241.50,      1241.50,      1241.50,                    31037.50,25, ,1,      1470.00,      1185.00
N,N9,RECLTD,BOND 8.71% TAX FREE S2B,      1290.00,      1290.00,      1299.30,      1290.00,      1294.99,                  1608695.33,1246, ,15,      1363.75,      1242.15
N,NA,IBULHSGFIN,SEC RED NCD 9.0% SR. VI,       974.15,       980.00,       984.99,       950.50,       984.99,                    21959.98,23, ,5,       984.99,       570.00
N,NA,IDFCFIRSTB,BOND 0% 2021 TR-1 SR-II,     11358.21,     11360.00,     11360.00,     11360.00,     11360.00,                    45440.00,4, ,1,     11360.00,      9852.80
N,NA,IRFC,BOND 8.65% PA TF TI-SIIB,      1290.00,      1295.00,      1298.00,      1288.00,      1288.00,                    51645.00,40, ,5,      1387.29,      1075.20
N,NA,NHAI,TAX FREE7.60% SR.IIB,      1239.50,      1239.00,      1244.00,      1237.70,      1240.01,                 19841216.10,16001, ,67,      1301.00,      1198.00
N,NA,TATACAPHSG,SEC RED NCD 8.40% SR.V,      1115.00,      1130.00,      1130.00,      1130.00,      1130.00,                     1130.00,1, ,1,      1190.00,      1021.05
