MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EQ,M&M,MAHINDRA & MAHINDRA LTD,       804.60,       807.90,       811.75,       802.60,       803.85,               2413749494.05,2994862,Y, ,103621,       952.05,       456.10
N,EQ,MARUTI,MARUTI SUZUKI INDIA LTD.,      7214.70,      7221.00,      7328.85,      7211.10,      7275.65,               3789795837.25,520482,Y, ,53602,      8329.00,      5201.00
N,EQ,NESTLEIND,NESTLE INDIA LIMITED,     17426.80,     17474.55,     17590.00,     17353.50,     17532.55,                863895068.15,49436,Y, ,15165,     18844.00,     15100.00
N,EQ,NTPC,NTPC LTD,       111.75,       112.15,       116.75,       112.00,       116.40,               3275828935.45,28407410,Y, ,108221,       116.75,        78.10
N,EQ,ONGC,OIL AND NATURAL GAS CORP.,       125.45,       126.95,       127.50,       124.90,       125.15,               3626670068.35,28709907,Y, ,119563,       127.50,        64.10
N,EQ,POWERGRID,POWER GRID CORP. LTD.,       226.15,       227.30,       237.80,       226.90,       236.25,               2365561963.10,10158072,Y, ,69230,       239.85,       154.60
N,EQ,RELIANCE,RELIANCE INDUSTRIES LTD,      2190.50,      2202.00,      2242.00,      2185.00,      2227.40,              16697958781.50,7539326,Y, ,227808,      2369.35,      1497.00
N,EQ,SBILIFE,SBI LIFE INSURANCE CO LTD,       989.15,       995.00,       997.95,       987.00,       988.50,                687138886.50,693875,Y, ,34639,      1044.70,       728.75
N,EQ,SBIN,STATE BANK OF INDIA,       433.60,       435.10,       437.40,       430.80,       432.25,               8783035451.00,20201197,Y, ,174837,       441.95,       169.25
N,EQ,SHREECEM,SHREE CEMENT LIMITED,     28153.65,     28209.95,     29344.85,     28209.95,     29155.80,               2603805591.60,89841,Y, ,29042,     32048.00,     18183.55
N,EQ,SUNPHARMA,SUN PHARMACEUTICAL IND L,       673.95,       673.95,       677.80,       670.90,       675.35,               1883631957.05,2793705,Y, ,44608,       721.85,       452.25
N,EQ,TATAMOTORS,TATA MOTORS LIMITED,       334.95,       339.75,       351.00,       339.75,       345.50,              22511445127.60,64986814,Y, ,454768,       357.00,        91.80
N,EQ,TATASTEEL,TATA STEEL LIMITED,      1120.70,      1130.00,      1150.00,      1125.55,      1128.70,              13884374724.30,12218592,Y, ,197050,      1246.85,       300.00
N,EQ,TCS,TATA CONSULTANCY SERV LT,      3143.75,      3145.00,      3190.45,      3133.60,      3183.20,               8082689475.70,2559821,Y, ,102542,      3354.35,      2000.95
N,EQ,TECHM,TECH MAHINDRA LIMITED,      1019.20,      1024.95,      1038.95,      1019.45,      1034.40,               1794178747.05,1745475,Y, ,37736,      1081.55,       528.40
N,EQ,TITAN,TITAN COMPANY LIMITED,      1679.50,      1685.85,      1713.85,      1676.00,      1685.10,               2492291551.05,1471576,Y, ,72362,      1713.85,       901.00
N,EQ,ULTRACEMCO,ULTRATECH CEMENT LIMITED,      6664.30,      6689.95,      6907.95,      6663.00,      6849.65,               4209633034.60,617042,Y, ,59364,      7055.95,      3600.00
N,EQ,UPL,UPL LIMITED,       836.25,       841.00,       862.25,       834.20,       850.50,               4070944130.60,4774564,Y, ,77145,       862.25,       398.05
N,EQ,WIPRO,WIPRO LTD,       541.20,       544.70,       551.20,       542.70,       548.25,               2383568849.15,4348433,Y, ,57770,       551.20,       206.30
 , , , , , , , , , , ,N, , , , 
 , , ,NIFTY Next 50 Sec, , , , , , , ,N, , , , 
N,EQ,ABBOTINDIA,ABBOTT INDIA LIMITED,     15940.40,     15945.80,     15972.75,     15860.10,     15897.95,                147333585.20,9265,N, ,2788,     17799.00,     13959.80
N,EQ,ACC,ACC LIMITED,      2009.90,      2015.50,      2058.90,      2011.00,      2045.95,               1011228003.75,494925,N, ,25735,      2058.90,      1180.00
N,EQ,ADANIGREEN,ADANI GREEN ENERGY LTD,      1277.25,      1294.40,      1294.40,      1263.00,      1264.85,                824669572.15,647083,N, ,31402,      1390.00,       283.20
N,EQ,ADANITRANS,ADANI TRANSMISSION LTD,      1602.05,      1616.90,      1644.95,      1552.60,      1589.45,               1014603703.25,632473,N, ,28468,      1644.95,       177.00
N,EQ,ALKEM,ALKEM LABORATORIES LTD.,      3164.95,      3164.95,      3176.95,      3121.90,      3140.45,                437438162.55,139241,N, ,10685,      3215.00,      2282.85
N,EQ,AMBUJACEM,AMBUJA CEMENTS LTD,       332.05,       333.80,       342.80,       333.15,       339.05,               1411795922.85,4163074,N, ,50630,       342.80,       181.65
N,EQ,AUROPHARMA,AUROBINDO PHARMA LTD,       959.05,       964.05,       968.00,       956.45,       959.50,               1649138990.10,1716989,N, ,35988,      1063.90,       728.80
